"Story","Title","Result","Date","Stability","Duration (s)"
"Funcionalidad adicionar ingresos App gastos de compras","Adicionar ingreso tipo sueldo","SUCCESS","2020-05-27T15:05:24.6994944-05:00[America/Bogota]","0.0","100.24"
"Operar calculadora","Operacion Suma","ERROR","2020-06-10T20:19:43.0018515-05:00[America/Bogota]","0.0","64.23"
